Author,Comment,Photo,Channel_ID,Timestamp
Juan Carlos Velarde Durán,what time is it?,https://yt3.ggpht.com/-pmfEAp7Or14/AAAAAAAAAAI/AAAAAAAAAAA/akm_eGtNNsw/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCA4XFS9NIGb4jgV-F_e07dg,1592800973786146
makayla Rodriguez,am tired,https://yt3.ggpht.com/-IKqjXKmvCFc/AAAAAAAAAAI/AAAAAAAAAAA/GE81qHF8vW0/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UC6Xu1A8Gvti9IG_d4vJhllg,1592800976220361
Bubble Gumby,HELLO,https://yt3.ggpht.com/-bqsCJ8jJEAE/AAAAAAAAAAI/AAAAAAAAAAA/Lh8rnfLJrto/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCLWMeFdaD-8hvqpe8w19n5A,1592800978713605
Bubble Gumby,,https://yt3.ggpht.com/-bqsCJ8jJEAE/AAAAAAAAAAI/AAAAAAAAAAA/Lh8rnfLJrto/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCLWMeFdaD-8hvqpe8w19n5A,1592800978713605
Giosuke M,oh no Pucci don't reset the universe please 😔,https://yt3.ggpht.com/-D8MeA1DEPhg/AAAAAAAAAAI/AAAAAAAAAAA/7ocBu6YnC6A/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCljTFnqgrUQEnoYZlmA1wxQ,1592800983820768
Mariona Lopez,b u l e d r e a m WHATS GOOD,https://yt3.ggpht.com/-KlbbgZj5XOw/AAAAAAAAAAI/AAAAAAAAAAA/mzOEjA17Z0g/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCys65NF0lP2iAfuTlYEQLRA,1592800983900181
norlan diaz,Perfect time to look up at the sky and meditate ,https://yt3.ggpht.com/-dW6lQ0azVrM/AAAAAAAAAAI/AAAAAAAAAAA/hWXtz_jHuCM/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UC71QaezB9IGq1Y-fZgu9oHg,1592800987470848
norlan diaz,,https://yt3.ggpht.com/-dW6lQ0azVrM/AAAAAAAAAAI/AAAAAAAAAAA/hWXtz_jHuCM/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UC71QaezB9IGq1Y-fZgu9oHg,1592800987470848
Sampada,I'm romantic ❤️❤️❤️😍😍😍😒😒😑,https://yt3.ggpht.com/-blrU8-1Dlmk/AAAAAAAAAAI/AAAAAAAAAAA/eXQ7JqnM0q4/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCMGOiIWzVcFopEWhQuPEY3g,1592800991103371
Grand master Yoda,Ay blyat,https://yt3.ggpht.com/-AkTco4ORQWo/AAAAAAAAAAI/AAAAAAAAAAA/Sya1C_llTO4/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UC_Vpxkhz5iPgk8cWpifnLHQ,1592800991230081
V Marie,Well then let’s talk because I been there done that and worse,https://yt3.ggpht.com/-pBpYHtHv4yM/AAAAAAAAAAI/AAAAAAAAAAA/G2KgSER8ILg/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCspFAm9jcg0_jHsKKmIzN-Q,1592800992875240
Avery,david i'ma be honest... i'm not going to read alllat,https://yt3.ggpht.com/-jhosnWRg1UM/AAAAAAAAAAI/AAAAAAAAAAA/otYOCEAJd6Q/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCafIjkY4ilJYp4yskdZfVSA,1592800994006401
crime Panda,I changed it back,https://yt3.ggpht.com/-J-znn3FHMDg/AAAAAAAAAAI/AAAAAAAAAAA/rLVI70hJT3o/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCK0dqG3CmcIjWCQBvoN2pAQ,1592800994389172
Marcelo Fucchi,.,https://yt3.ggpht.com/-E1qKfi8R7Wk/AAAAAAAAAAI/AAAAAAAAAAA/9K6oh7cmXW4/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCTvNJRX_vGGa6NxS8v0kKwg,1592800995107079
Rui Nascimento,05h43 portugal,https://yt3.ggpht.com/-oT2HpUPAi5U/AAAAAAAAAAI/AAAAAAAAAAA/lpW4GXxLZBE/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCHwQOAsuBmLPMOD90sN3puw,1592800998818822
[M a d e I n H e a v e n],On my way @Giosuke M,https://yt3.ggpht.com/-8sXIgp46yrA/AAAAAAAAAAI/AAAAAAAAAAA/DJWMetXUd34/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCvz93MEoC7g3mtpU1A9ZKkw,1592801000900070
uwuPurpl3,@D remember me,https://yt3.ggpht.com/-jTsYaEdAyo8/AAAAAAAAAAI/AAAAAAAAAAA/F686nKqaxO8/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCsoIVsIhNbD_nQrhheqg16Q,1592801000905516
Preston Stansbury,any one else just vibin?,https://yt3.ggpht.com/-gho9h8AASuw/AAAAAAAAAAI/AAAAAAAAAAA/dKvYI28XYH8/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCuN2wjt7rJRa_DZRi94rL9w,1592801001581298
Grand master Yoda,AY BLYAT,https://yt3.ggpht.com/-AkTco4ORQWo/AAAAAAAAAAI/AAAAAAAAAAA/Sya1C_llTO4/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UC_Vpxkhz5iPgk8cWpifnLHQ,1592801005876764
Avery,salmon d a weirdo and i mean it,https://yt3.ggpht.com/-jhosnWRg1UM/AAAAAAAAAAI/AAAAAAAAAAA/otYOCEAJd6Q/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCafIjkY4ilJYp4yskdZfVSA,1592801010602983
Blake Williams,Perfect time to cut yourself off all media and retreat to the mountains or a private island,https://yt3.ggpht.com/-FMOgzqMCMN0/AAAAAAAAAAI/AAAAAAAAAAA/R2dCM1FZm9s/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UC8_Apw5PUaLxg3QEcDYA5hA,1592801011717386
[M a d e I n H e a v e n],@Sampada wtf?,https://yt3.ggpht.com/-8sXIgp46yrA/AAAAAAAAAAI/AAAAAAAAAAA/DJWMetXUd34/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCvz93MEoC7g3mtpU1A9ZKkw,1592801011739574
Grand master Yoda,CYKA BLYAT,https://yt3.ggpht.com/-AkTco4ORQWo/AAAAAAAAAAI/AAAAAAAAAAA/Sya1C_llTO4/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UC_Vpxkhz5iPgk8cWpifnLHQ,1592801014918420
Giosuke M,dammit,https://yt3.ggpht.com/-D8MeA1DEPhg/AAAAAAAAAAI/AAAAAAAAAAA/7ocBu6YnC6A/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCljTFnqgrUQEnoYZlmA1wxQ,1592801015471024
uwuPurpl3,Why I liked that name @Crime Panda,https://yt3.ggpht.com/-jTsYaEdAyo8/AAAAAAAAAAI/AAAAAAAAAAA/F686nKqaxO8/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCsoIVsIhNbD_nQrhheqg16Q,1592801018900247
David Salman,it,https://yt3.ggpht.com/--EOCW8phqFg/AAAAAAAAAAI/AAAAAAAAAAA/K5DqSvcr1VA/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCo4h5yQBv85cAGGqm6gc3bA,1592801021885136
Abdullah Chak,ayeeee,https://yt3.ggpht.com/-R95OzEXdHCo/AAAAAAAAAAI/AAAAAAAAAAA/X1rgVFL-7c4/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCRdN53xJ2UBkJzSm82QipQw,1592801023721763
MullerTha Muso,Im homoerotic,https://yt3.ggpht.com/-w0rR-KVvP_Q/AAAAAAAAAAI/AAAAAAAAAAA/1XQwqF6PWz0/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCz_kO41k8QethSZZafgoYow,1592801024181795
Sampada,hahaha vete ala meredà 🤣,https://yt3.ggpht.com/-blrU8-1Dlmk/AAAAAAAAAAI/AAAAAAAAAAA/eXQ7JqnM0q4/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCMGOiIWzVcFopEWhQuPEY3g,1592801024929392
Bella’s Inspiration,I’m just vibing,https://yt3.ggpht.com/-KIUL0g-XA5Q/AAAAAAAAAAI/AAAAAAAAAAA/1bX_6jpFYco/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCyr8jSy0h3yQG1qVNIAf_Wg,1592801025913932
Grand master Yoda,U R CYKA,https://yt3.ggpht.com/-AkTco4ORQWo/AAAAAAAAAAI/AAAAAAAAAAA/Sya1C_llTO4/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UC_Vpxkhz5iPgk8cWpifnLHQ,1592801030346205
Katia Flores,hi xD,https://yt3.ggpht.com/-qlKSU5nQzuQ/AAAAAAAAAAI/AAAAAAAAAAA/DLdBulSHlOc/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UC1KKfjJFfxvL_bamKIRKtJw,1592801031109654
Rui Nascimento,i just vibing and smoke my weed bro,https://yt3.ggpht.com/-oT2HpUPAi5U/AAAAAAAAAAI/AAAAAAAAAAA/lpW4GXxLZBE/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCHwQOAsuBmLPMOD90sN3puw,1592801033206967
David Salman,"it's cause i'm bored as heck, just messing around 😂 @Avery",https://yt3.ggpht.com/--EOCW8phqFg/AAAAAAAAAAI/AAAAAAAAAAA/K5DqSvcr1VA/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCo4h5yQBv85cAGGqm6gc3bA,1592801036199611
Preston Stansbury,good,https://yt3.ggpht.com/-gho9h8AASuw/AAAAAAAAAAI/AAAAAAAAAAA/dKvYI28XYH8/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCuN2wjt7rJRa_DZRi94rL9w,1592801037745710
b l u e d r e a m,nun much,https://yt3.ggpht.com/-PXVFfzEF2eY/AAAAAAAAAAI/AAAAAAAAAAA/Hr-comZMDM8/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UC6Ptrz5gNx8xFcX0Q4UmvOw,1592801041797020
Abdullah Chak,Katie u soo beautiful,https://yt3.ggpht.com/-R95OzEXdHCo/AAAAAAAAAAI/AAAAAAAAAAA/X1rgVFL-7c4/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCRdN53xJ2UBkJzSm82QipQw,1592801045256222
