Author,Comment,Photo,Channel_ID,Timestamp
Matt K,the guy on the right in the white forget to take off his night gown,https://yt3.ggpht.com/-_twGB99wFBA/AAAAAAAAAAI/AAAAAAAAAAA/5NTHpKA8Slg/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UC8XDPDEAvgOe8DjoL1_i86A,1592920000000000.0
Malice min,if you ever wanted to become a cop now is the best time. given you at least have a highschool diploma,https://yt3.ggpht.com/-r2dhFGoXK-M/AAAAAAAAAAI/AAAAAAAAAAA/tEqNRArC8uE/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UC0uPhOs4LQ3jtXE4S4O2a3w,1592920000000000.0
KD8GIS Bruce,Protesters don't get a stimulus check,https://yt3.ggpht.com/-rLDsD4TShRU/AAAAAAAAAAI/AAAAAAAAAAA/EEp29YPzMxI/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCjd-3s9mweFYhWtj88u0NDg,1592920000000000.0
philonetic,George,https://yt3.ggpht.com/-W45EIo8lxU8/AAAAAAAAAAI/AAAAAAAAAAA/g5xce6ikdpU/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UC-ZIQ6UinBTocxQXlwnw8FA,1592920000000000.0
KK,Willy Wonka,https://yt3.ggpht.com/-9waKlKLX4tE/AAAAAAAAAAI/AAAAAAAAAAA/B43TlQecCnk/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCm8o4XZCzfO0jHSLqRjfsuA,1592920000000000.0
jim wedge,"He’s British, Jen. Not Ukrainian. Or Russian. Or Chinese.",https://yt3.ggpht.com/-RwuRJ-qgIZA/AAAAAAAAAAI/AAAAAAAAAAA/ow85V3P6EUY/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCvRFNWI7OxXrZ8RKa2re0ag,1592920000000000.0
Dutch Eve,His name is Robert Paulson,https://yt3.ggpht.com/-HWdJjFScRTo/AAAAAAAAAAI/AAAAAAAAAAA/_o3fKUpIkZ4/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCYrJLyppFhrUUQ4X36XY60Q,1592920000000000.0
Matt Taylor,🐷🐷🐷🐷🐷🐷🐷🐷,https://yt3.ggpht.com/-mCJ52nbDHqA/AAAAAAAAAAI/AAAAAAAAAAA/wzzbtj_tikM/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCBcoLcuu2mfhk3OQDli-LXA,1592920000000000.0
Jasminka Karamustafic,Why not get rid of the Mount Rushmore faces there all was slaves owners and Lincoln Memorial statue,https://yt3.ggpht.com/-oNnlqvJvNd4/AAAAAAAAAAI/AAAAAAAAAAA/XaqNuxm8IUE/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCuF3rgaSnBkBvSWXXQ3cesA,1592920000000000.0
FaithwalkerTodd,That sounds like somebody’s disturbing the peace,https://yt3.ggpht.com/-RP8xCC7zssc/AAAAAAAAAAI/AAAAAAAAAAA/v2a4aWEmFoA/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UC2uOEqr9YpoYx78_6Ft866Q,1592920000000000.0
